Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Day,Order Day of Week,Order to Ship Duration,Total Revenue,Average Profit per Unit,Profit Margin,Discounted Sales,High Value Customer,Category,Sub-Category,Product Name,printer_related,Customer Name,Segment,Country
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,2016,1,16,5,4,271.71,3.9247,0.13,90.57,False,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,False,Eric Hoffmann,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,2015,9,17,3,4,21584.01,-237.86460000000002,-0.54,1541.715,True,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,2015,9,17,3,4,19.236,-3.5266,-0.7333333333333334,2.8854000000000006,True,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,2015,9,17,3,4,372.6,5.175,0.125,99.36000000000001,True,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,2015,9,17,3,4,372.6,5.175,0.125,99.36000000000001,True,Furniture,Furnishings,DAX Solid Wood Frames,False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,2015,9,17,3,4,6.528,0.5508,0.3375,2.6112,True,Office Supplies,Envelopes,Poly String Tie Envelopes,False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,2015,9,17,3,4,517.8240000000001,1.6181999999999999,0.11249999999999999,69.0432,True,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,2015,9,17,3,4,41.147999999999996,-0.9525,-0.8333333333333334,2.0574000000000003,True,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",False,Tracy Blumstein,Consumer,United States
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,2015,9,17,3,4,31.52,1.773,0.22499999999999998,12.608,True,Office Supplies,Art,Lumber Crayons,False,Tracy Blumstein,Consumer,United States
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,2017,10,19,3,4,88.416,3.3156,0.33749999999999997,23.577600000000004,True,Office Supplies,Paper,Easy-staple paper,False,Matt Abelman,Home Office,United States
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,2016,12,8,3,2,7682.808000000001,17.6391,0.11249999999999999,878.0352000000001,True,Technology,Phones,GE 30524EE4,False,Gene Hale,Corporate,United States
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,2016,12,8,3,2,954.5999999999999,-29.592599999999997,-0.775,76.368,True,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",False,Gene Hale,Corporate,United States
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,2015,12,27,6,4,1019.952,3.935,0.3125,90.6624,True,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",False,Steve Nguyen,Home Office,United States
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,2015,12,27,6,4,1597.1976,-15.6588,-0.08823529411764706,362.03145599999993,True,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",False,Steve Nguyen,Home Office,United States
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,2015,12,27,6,4,636.174,-5.049,-0.07142857142857144,148.4406,True,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",False,Steve Nguyen,Home Office,United States
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,2015,12,27,6,4,1484.672,10.4391,0.1125,296.93440000000004,True,Technology,Phones,Plantronics HL10 Handset Lifter,False,Steve Nguyen,Home Office,United States
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,2017,9,10,6,5,588.672,4.1391,0.11249999999999999,117.73440000000001,True,Technology,Phones,Panasonic Kx-TS550,False,Linda Cazamias,Corporate,United States
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.894,2016,7,17,6,5,155.76,1.947,0.05,77.88,True,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",False,Ruben Ausman,Corporate,United States
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,2017,9,19,1,4,191.232,4.7808,0.1,76.4928,True,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",False,Erin Smith,Corporate,United States
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714,2016,3,11,4,2,91.96,9.8857,0.43000000000000005,45.98,True,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",False,Odella Nelson,Corporate,United States
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.2062,2016,3,11,4,2,34.92,4.1031,0.47000000000000003,17.46,True,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,False,Odella Nelson,Corporate,United States
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.4784,2014,10,20,0,5,847.84,2.1196,0.04,211.96,True,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",False,Patrick O'Donnell,Consumer,United States
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95,2016,6,20,0,5,135.0,1.6500000000000001,0.11,45.0,True,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,False,Lena Hernandez,Consumer,United States
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104,2016,6,20,0,5,43.6,3.052,0.27999999999999997,21.8,True,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",False,Lena Hernandez,Consumer,United States
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634,2015,4,18,5,4,229.32,2.9939,0.47000000000000003,38.22,True,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",False,Darren Powers,Consumer,United States
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.3346,2015,4,18,5,4,451.08000000000004,5.8891,0.47,75.18,True,Office Supplies,Labels,Avery 485,False,Darren Powers,Consumer,United States
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.9568,2015,4,18,5,4,12.32,1.4784,0.48,6.16,True,Furniture,Furnishings,Longer-Life Soft White Bulbs,False,Darren Powers,Consumer,United States
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.0981,2015,4,18,5,4,89.99,17.0981,0.19,89.99,True,Furniture,Chairs,"Global Leather Task Chair, Black",False,Darren Powers,Consumer,United States
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.2566,2016,12,11,6,6,106.82,0.8937999999999999,0.41,15.26,True,Office Supplies,Fasteners,Advantus Push Pins,False,Janet Molinari,Corporate,United States
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.6855,2016,12,11,6,6,5149.75,59.7371,0.29,1029.95,True,Technology,Phones,AT&T CL83451 4-Handset Telephone,False,Janet Molinari,Corporate,United States
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.1512,2015,11,24,1,6,27.96,3.0756,0.44,13.98,True,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",False,Kunst Miller,Consumer,United States
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,2015,11,24,1,6,154.94400000000002,1.5602,0.3625,20.659200000000002,True,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",False,Kunst Miller,Consumer,United States
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.9631,2015,11,24,1,6,440.18999999999994,22.9877,0.47000000000000003,146.73,True,Office Supplies,Paper,Xerox 1943,False,Kunst Miller,Consumer,United States
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.3328,2015,11,24,1,6,319.04,5.5832,0.27999999999999997,79.76,True,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,False,Kunst Miller,Consumer,United States
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,2015,4,30,3,5,1065.575,-3.0445,-0.07142857142857142,149.1805,True,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",False,Paul Stevenson,Home Office,United States
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,2015,4,30,3,5,1065.575,-3.0445,-0.07142857142857142,149.1805,True,Furniture,Chairs,"Global Task Chair, Black",False,Paul Stevenson,Home Office,United States
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,2014,12,5,4,5,8904.192,13.9128,0.10000000000000002,890.4191999999999,True,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",False,Brendan Sweed,Corporate,United States
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,2014,12,5,4,5,671.872,15.747,0.375,134.3744,True,Technology,Phones,netTALK DUO VoIP Telephone Service,False,Brendan Sweed,Corporate,United States
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.6636,2016,6,4,5,2,151.76,17.8318,0.4700000000000001,75.88,True,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",False,Karen Daniels,Consumer,United States
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,2016,9,18,6,5,4.616,1.731,0.37500000000000006,3.6928,False,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,False,Henry MacAllister,Consumer,United States
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,2016,9,18,6,5,4.616,1.731,0.37500000000000006,3.6928,False,Office Supplies,Binders,VariCap6 Expandable Binder,False,Henry MacAllister,Consumer,United States
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.763,2017,9,14,3,3,57.150000000000006,2.921,0.45999999999999996,19.05,True,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",False,Tracy Blumstein,Consumer,United States
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,2015,4,26,6,6,6655.488,-14.2989,-0.13749999999999998,665.5488,True,Furniture,Chairs,High-Back Leather Manager's Chair,False,Joel Eaton,Consumer,United States
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,2015,4,26,6,6,194.08,0.6065,0.0125,77.632,True,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",False,Joel Eaton,Consumer,United States
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,2015,4,26,6,6,72.784,-18.196,-0.25,58.22720000000001,True,Office Supplies,Storage,Safco Industrial Wire Shelving System,False,Joel Eaton,Consumer,United States
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,2017,12,9,5,2,3.7439999999999998,-0.6447999999999999,-1.5499999999999998,0.24959999999999993,False,Office Supplies,Binders,Economy Binders,False,Ken Brennan,Corporate,United States
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,2017,12,9,5,2,29.124000000000002,-1.9416,-0.6,3.8832000000000004,False,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",False,Ken Brennan,Corporate,United States
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,2017,12,9,5,2,81.72,0.908,0.10000000000000002,21.792,False,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",False,Ken Brennan,Corporate,United States
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,2014,11,26,2,5,96.5,-2.895,-0.75,7.720000000000001,True,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",False,Joel Eaton,Consumer,United States
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2032,2016,6,12,6,3,208.16,56.2032,0.27,208.16,True,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",False,Stewart Carmichael,Corporate,United States
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.0352,2016,6,12,6,3,50.22,2.6784,0.48000000000000004,16.74,True,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,False,Stewart Carmichael,Corporate,United States
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.172,2014,10,12,6,4,74.5,0.8343999999999999,0.27999999999999997,14.9,True,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",False,Duane Noonan,Consumer,United States
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2031,2014,10,12,6,4,21.39,6.2031,0.29,21.39,True,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",False,Duane Noonan,Consumer,United States
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,2015,9,3,3,5,1406.8880000000001,8.9725,0.3125,160.7872,False,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,False,Julie Creighton,Corporate,United States
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,2017,11,13,0,3,691.128,-16.3183,-0.2125,184.3008,True,Office Supplies,Storage,Safco Industrial Wire Shelving,False,Christopher Schild,Home Office,United States
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.2156,2017,5,28,6,2,603.92,16.6078,0.11000000000000001,301.96,True,Furniture,Chairs,Novimex Swivel Fabric Task Chair,False,Patrick O'Donnell,Consumer,United States
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.7966,2017,10,26,3,7,19.99,6.7966,0.34,19.99,True,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,False,Paul Gonzalez,Consumer,United States
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.9568,2017,10,26,3,7,12.32,1.4784,0.48,6.16,True,Office Supplies,Labels,Avery 511,False,Paul Gonzalez,Consumer,United States
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,2016,4,5,1,5,1108.576,1.9796,0.08750000000000001,126.6944,True,Office Supplies,Storage,Eldon Portable Mobile Manager,False,Gary Mitchum,Home Office,United States
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.2208,2015,1,31,5,5,25.92,3.1104,0.4799999999999999,12.96,True,Office Supplies,Paper,Xerox 1999,False,Karl Braun,Consumer,United States
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.5354,2015,1,31,5,5,160.02,5.5118,0.30999999999999994,53.34,True,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",False,Karl Braun,Consumer,United States
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.1504,2015,1,31,5,5,65.92,8.0752,0.49000000000000005,32.96,True,Office Supplies,Binders,Ibico Standard Transparent Covers,False,Karl Braun,Consumer,United States
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,2017,11,6,0,6,5.682,-3.788,-0.6666666666666666,1.7046000000000003,True,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,False,Roger Barcio,Home Office,United States
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.5426,2017,11,9,3,2,675.71,5.7918,0.42,96.53,True,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,False,Parhena Norris,Home Office,United States
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,2017,6,17,5,3,153.93599999999998,5.9864,0.35,41.0496,True,Office Supplies,Binders,Trimflex Flexible Post Binders,False,Katherine Ducich,Consumer,United States
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.5852,2016,9,6,1,5,467.28,3.7642,0.29000000000000004,77.88,True,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,False,Elpida Rittenbach,Corporate,United States
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,2016,8,29,0,4,452.36799999999994,3.2312000000000003,0.35000000000000003,51.6992,True,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,False,Rick Bensley,Home Office,United States
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,2016,8,29,0,4,287.928,-3.5991,-0.1125,76.7808,True,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,False,Rick Bensley,Home Office,United States
